Zone,Time
Center,2025-10-19 19:32:48
Center,2025-10-19 19:32:48
Center,2025-10-19 19:32:48
Right,2025-10-19 19:32:34
Right,2025-10-19 19:32:36
Right,2025-10-19 19:32:36
Right,2025-10-19 19:32:36
Right,2025-10-19 19:32:36
Right,2025-10-19 19:32:36
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:37
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:38
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:39
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:40
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:41
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:42
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:43
Right,2025-10-19 19:32:44
Right,2025-10-19 19:32:44
Right,2025-10-19 19:32:44
Right,2025-10-19 19:32:44
Right,2025-10-19 19:32:44
Right,2025-10-19 19:32:44
Right,2025-10-19 19:32:45
Right,2025-10-19 19:32:45
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:46
Right,2025-10-19 19:32:47
Right,2025-10-19 19:32:47
Right,2025-10-19 19:32:47
Right,2025-10-19 19:32:47
Right,2025-10-19 19:32:47
Right,2025-10-19 19:32:47
Right,2025-10-19 19:32:47
Right,2025-10-19 19:32:48
Right,2025-10-19 19:32:48
Right,2025-10-19 19:32:48
